City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
390,Sitges,ES,82.0,clear sky,41.2351,1.8119,URH Sitges Playa
391,Mitu,CO,71.15,overcast clouds,1.1983,-70.1733,
393,Manavalakurichi,IN,80.51,overcast clouds,8.1333,77.3,Jebinrio home
395,Vaitape,PF,75.09,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
396,Borba,BR,76.35,broken clouds,-4.3878,-59.5939,Hotel da Amazônia
397,Corinth,GR,85.89,clear sky,37.9407,22.9573,Ephira Hotel
399,Kentau,KZ,79.7,clear sky,43.5206,68.5094,Safary
401,Angoram,PG,85.84,overcast clouds,-4.0625,144.0661,
402,Sinnamary,GF,77.99,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
403,Phetchabun,TH,88.07,overcast clouds,16.25,101.0833,วินธนา รีสอร์ท
404,Zyryanka,RU,80.58,broken clouds,65.75,150.85,
406,Belyy Yar,RU,78.69,clear sky,53.6039,91.3903,Pasportnyy Stol
407,Sinop,TR,70.23,clear sky,41.7711,34.8709,
411,Verkh-Chebula,RU,74.57,scattered clouds,56.0308,87.6218,Gostinitsa
413,Marzuq,YE,78.62,overcast clouds,14.4,46.4667,
415,Galle,LK,81.55,overcast clouds,6.0367,80.217,Amangalla
417,Panacan,PH,85.69,broken clouds,9.2463,118.4082,Mom's Place Resort
420,Dingzhou,CN,75.31,broken clouds,38.5131,114.9956,宜家时尚宾馆
423,Orocue,CO,73.76,overcast clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
427,Okitipupa,NG,71.29,broken clouds,6.5047,4.7839,Coastal Hotel & Suites
428,Poso,ID,86.05,broken clouds,-1.3959,120.7524,Hotel 77 Poso
429,Champerico,GT,78.1,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
432,Finschhafen,PG,81.63,overcast clouds,-6.6024,147.8681,Cossam Guest House
433,Ternate,ID,82.54,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
435,Cockburn Town,TC,81.0,clear sky,21.4612,-71.1419,Osprey Beach Hotel
441,Kurgan,RU,76.87,broken clouds,55.45,65.3333,Restoran Atrium
442,Nouadhibou,MR,73.38,clear sky,20.931,-17.0347,El Medina
444,Kailua,US,82.38,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
446,Tabuk,PH,87.39,light rain,17.4189,121.4443,Golden Berries Hotel and Convention
447,Mogadishu,SO,78.67,broken clouds,2.0371,45.3438,Hotel Juba
452,Praia Da Vitoria,PT,70.05,scattered clouds,38.7333,-27.0667,Hotel Branco I
453,Baykit,RU,73.02,scattered clouds,61.67,96.37,
458,Punganuru,IN,79.5,overcast clouds,13.3667,78.5833,Sai Ram nursery
459,Qui Nhon,VN,86.65,overcast clouds,13.7667,109.2333,Seagull Hotel
460,Vrangel,RU,72.7,clear sky,42.7297,133.0839,"Отель ""БАЛИ"""
461,Umm Lajj,SA,87.87,broken clouds,25.0213,37.2685,Moon light Furnished Units
462,Kiyasovo,RU,72.14,overcast clouds,56.3491,53.1244,Гостиница Центральная
463,Kamenka,RU,79.29,broken clouds,51.3223,42.7678,
469,Yumen,CN,87.17,clear sky,40.2833,97.2,
473,Fare,PF,74.89,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
475,Alta Floresta,BR,72.41,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
477,Boulder,US,71.96,clear sky,40.0833,-105.3505,Deck House Boulder
478,Balkhash,KZ,75.81,clear sky,46.844,74.9804,Family
482,Bud,US,71.62,broken clouds,39.447,-86.1758,Ted McQuinn Trust
483,Dubti,ET,77.72,light rain,11.7361,41.0853,degu Shiferaw
489,Rawlins,US,73.35,clear sky,41.7911,-107.2387,"Holiday Inn Express Rawlins, an IHG Hotel"
490,Wanlaweyn,SO,77.36,overcast clouds,2.6185,44.8938,GAASHAAN HOME
493,Rock Sound,BS,82.78,scattered clouds,24.9,-76.2,Pink Corral Bay Property
494,Conceicao Do Araguaia,BR,73.2,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
497,Sabya,SA,87.42,broken clouds,17.1495,42.6254,Aseel Hotel Apartment
499,Sao Felix Do Xingu,BR,71.62,clear sky,-6.6447,-51.995,Rio Xingu Camping
500,Jiwani,PK,87.35,overcast clouds,25.05,61.7417,Hamza hotel jiwani
501,New Philadelphia,US,71.46,overcast clouds,40.4898,-81.4457,"Holiday Inn Express & Suites New Philadelphia, an IHG Hotel"
502,Salinopolis,BR,77.61,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
503,Dicabisagan,PH,86.11,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
506,Maba,CN,80.31,overcast clouds,24.6841,113.5984,Huayi Traders Hotel
507,Touros,BR,71.42,clear sky,-5.1989,-35.4608,INN NEW HORIZON
508,Mana,GF,77.56,few clouds,5.6592,-53.7767,LE SAMANA
509,Campbell River,CA,71.13,clear sky,50.0163,-125.2446,Anchor Inn & Suites
510,Bani Walid,LY,73.94,clear sky,31.7566,13.9942,منزل مفتاح محمد الزلبي
511,Nalbari,IN,82.38,light rain,26.4456,91.4354,I P Lodge
514,Goksun,TR,73.78,clear sky,38.021,36.4973,Prof. Dr. Mehmet Saglam Ogretmenevi
518,Vila Velha,BR,73.35,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
519,Upata,VE,73.18,overcast clouds,8.0086,-62.3989,Posada Villa Nela
520,Port Blair,IN,86.04,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
522,Tiarei,PF,73.0,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
524,Ponnampet,IN,71.55,overcast clouds,12.15,75.9333,The Yellow Bamboo Resort & Spa
526,Trenggalek,ID,82.13,overcast clouds,-8.05,111.7167,OYO 2966 Hotel Atriaz
527,Russell,US,73.0,scattered clouds,32.3502,-85.1999,Macs
529,Mahajanga,MG,73.42,clear sky,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
530,Hopatcong,US,78.49,broken clouds,40.9329,-74.6593,"Holiday Inn Express & Suites Mount Arlington-Rockaway Area, an IHG Hotel"
532,Xinxiang,CN,81.18,overcast clouds,35.3089,113.8672,Guoyu Holiday Inn
537,Preobrazheniye,RU,75.99,clear sky,42.9019,133.9064,Campsite Orlan
538,Belmonte,BR,70.09,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
539,Narsipatnam,IN,83.5,overcast clouds,17.6667,82.6167,Lodge Vooda Residency AC
540,Svetlaya,RU,73.0,clear sky,46.5389,138.3297,
541,Tabou,CI,74.8,overcast clouds,4.423,-7.3528,hotêl doufoulougou
544,Cairns,AU,80.11,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
545,Gao,ML,85.8,overcast clouds,16.6362,1.637,
546,Parabel,RU,77.47,broken clouds,58.6978,81.4825,Housing Complex Gazprom Transgaz Tomsk
547,Tanggu,CN,84.16,clear sky,39.0211,117.6469,Ibis Tianjin Tanggu Hotel
548,Hirara,JP,86.27,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
552,Yashkul,RU,87.33,clear sky,46.1711,45.3435,"Gostinitsa ""Putnik"""
554,Puerto Escondido,MX,79.52,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
555,Poum,NC,71.53,clear sky,-20.2333,164.0167,
557,Kargasok,RU,78.6,few clouds,59.0556,80.8572,Hotel Kargasok
559,Marsh Harbour,BS,82.85,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
560,Araouane,ML,85.17,broken clouds,18.9048,-3.5265,
561,Dingle,PH,84.13,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
565,Romans-Sur-Isere,FR,70.84,broken clouds,45.0464,5.0562,le clos des tanneurs
566,Ures,MX,73.85,light rain,29.4333,-110.4,HOTEL SAHUARO HOUSE
567,Canchungo,GW,76.32,broken clouds,12.0672,-16.0333,Aparthotel Napalach
568,Weligama,LK,82.94,overcast clouds,5.9667,80.4167,Weligama Bay Resort
573,Portland,US,78.75,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
574,Juba,SS,71.2,light rain,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
575,Boyolangu,ID,82.47,overcast clouds,-8.1181,111.8935,Yos ega cv
576,Aitape,PG,83.12,overcast clouds,-3.1374,142.3475,
580,Fonte Boa,BR,72.86,few clouds,-2.4959,-66.2662,
581,Lakatoro,VU,79.36,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
582,Eydhafushi,MV,80.96,broken clouds,5.1033,73.0708,Soneva Fushi
583,Cukai,MY,89.55,broken clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
585,Najran,SA,86.65,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
589,Goundam,ML,82.9,light rain,16.4145,-3.6708,
592,Carlagan,PH,85.55,overcast clouds,14.975,122.0456,Cabatagan Island
593,Porto Novo,BJ,75.02,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
597,Sokolo,ML,77.04,light rain,14.7328,-6.1219,
598,Aktau,KZ,84.45,few clouds,43.65,51.2,Silk Way Hotel
600,Pokhara,NP,79.86,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
602,Avera,US,74.55,overcast clouds,33.194,-82.5271,
603,Muroto,JP,85.46,broken clouds,33.2833,134.15,Oota Ryokan
609,Davila,PH,85.98,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
610,Kijang,KR,87.53,overcast clouds,35.2442,129.2139,Samyang Beach Villa
613,Zwedru,LR,70.23,overcast clouds,6.0667,-8.1281,Elijah Worjloh
615,Srednekolymsk,RU,78.37,clear sky,67.45,153.6833,
622,Sardinata,CO,80.28,overcast clouds,8.0829,-72.8007,Hotel El Turpial
623,Lerida,ES,70.0,clear sky,41.6167,0.6167,Hotel Ramon Berenguer IV
624,Watertown,US,70.57,overcast clouds,42.3709,-71.1828,16 Washburn Street Watertown MA
625,Poplar Bluff,US,75.33,moderate rain,36.757,-90.3929,Holiday Inn Poplar Bluff
626,Mawlaik,MM,81.95,moderate rain,23.6333,94.4167,AKZ Guest House
627,Nalut,LY,75.9,clear sky,30.3333,10.85,
628,West Helena,US,74.88,broken clouds,34.5507,-90.6418,Best Western Inn
631,Alexandria,EG,80.67,clear sky,31.2156,29.9553,Royal Crown Hotel
632,Yangambi,CD,71.8,broken clouds,0.8102,24.4336,
