City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
42,Danville,US,77.02,clear sky,36.586,-79.395,"Holiday Inn Express Danville, an IHG Hotel"
44,Wanning,CN,76.86,light rain,18.8003,110.3967,Paradise Hotel
48,Sao Miguel Do Araguaia,BR,79.3,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
50,Lagoa,PT,70.66,scattered clouds,39.05,-27.9833,Casa Das Faias
53,Ponta Do Sol,PT,70.72,few clouds,32.6667,-17.1,Hotel do Campo
54,Carutapera,BR,75.18,few clouds,-1.195,-46.02,Lidera
56,Ewa Beach,US,82.35,clear sky,21.3156,-158.0072,Base Lodging
59,Dhana,IN,81.73,overcast clouds,23.75,78.85,Cycling Street DS
63,Dwarka,IN,85.14,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
67,Takoradi,GH,72.7,broken clouds,4.8845,-1.7554,Raybow International Hotel
74,Monte Alegre,BR,74.89,few clouds,-2.0078,-54.0692,Hotel Shekinah
75,Hilo,US,84.27,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
76,Grand Gaube,MU,72.37,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
78,Adrar,MR,88.99,scattered clouds,20.5022,-10.0711,
80,Atuona,PF,77.49,clear sky,-9.8,-139.0333,Villa Enata
82,Hamilton,US,74.25,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
83,Yanam,IN,86.25,moderate rain,16.7333,82.2167,The Regency Hotel
84,Kavieng,PG,77.79,moderate rain,-2.5744,150.7967,Nusa Island Retreat
85,Faanui,PF,75.15,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
86,Valle De Allende,MX,74.59,broken clouds,26.9333,-105.4,Hotel Meson de San Bartolome
88,Cayenne,GF,82.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
90,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Pirineos
93,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
96,Hithadhoo,MV,81.97,scattered clouds,-0.6,73.0833,Scoop Guest House
97,Alice Springs,AU,71.15,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
99,Bethel,US,79.16,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
100,Butaritari,KI,81.84,light rain,3.0707,172.7902,Isles Sunset Lodge
101,Agadez,NE,85.28,scattered clouds,19.75,10.25,
104,Lixourion,GR,73.4,few clouds,38.2019,20.4314,Hotel Summery
105,Bac Lieu,VN,85.82,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
106,Svetlograd,RU,81.99,clear sky,45.3353,42.8547,Ydacha Hotel
110,Georgetown,MY,89.89,few clouds,5.4112,100.3354,Cititel Penang
111,Samut Songkhram,TH,87.03,overcast clouds,13.4,99.9583,Amphawa Nanon Hotel & Spa
112,Lorengau,PG,84.61,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
114,Dongsheng,CN,74.07,broken clouds,39.8161,109.9776,Crowne Plaza Ordos
115,Jumla,NP,77.09,overcast clouds,29.2747,82.1838,Royal Garden Hotel
116,Butterworth,MY,89.65,haze,5.3991,100.3638,Cititel Penang
120,Shubarshi,KZ,80.22,clear sky,48.5872,57.1869,
124,Pedernales,DO,81.77,clear sky,18.0384,-71.744,Hotel Costa Marina
