City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
178,Uddevalla,72,SE,2022-08-08 03:48:32,95,58.3478,11.9424,60.08,4.03
179,Auki,100,SB,2022-08-08 03:48:32,85,-8.7676,160.7034,79.68,5.01
180,Ornes,79,NO,2022-08-08 03:48:32,84,66.8689,13.7078,49.12,5.57
181,Rizhao,99,CN,2022-08-08 03:48:33,76,35.4275,119.4553,88.81,5.84
182,Khatanga,69,RU,2022-08-08 03:48:33,55,71.9667,102.5,61.41,9.42
183,Yangshe,42,CN,2022-08-08 03:48:33,56,31.8899,120.6052,99.0,1.01
184,Tumarbong,100,PH,2022-08-08 03:49:33,71,10.3766,119.4579,83.95,9.62
185,Akyab,100,MM,2022-08-08 03:49:34,89,20.15,92.9,80.35,13.31
186,Grand Gaube,3,MU,2022-08-08 03:49:34,76,-20.0064,57.6608,68.38,3.0
187,Hanko,100,FI,2022-08-08 03:49:35,65,59.8333,22.95,54.14,6.69
188,Muscat,35,OM,2022-08-08 03:47:41,59,23.6139,58.5922,86.02,4.12
189,Lebedinyy,100,RU,2022-08-08 03:49:35,83,58.5167,125.5167,53.71,8.63
190,Morehead,0,US,2022-08-08 03:49:35,97,37.2711,-87.1764,76.78,0.0
191,Huanren,96,CN,2022-08-08 03:49:36,56,41.2647,125.3667,83.25,6.6
192,Scarborough,59,GB,2022-08-08 03:46:36,88,54.2797,-0.4044,58.33,1.99
193,Machico,20,PT,2022-08-08 03:49:36,82,32.7,-16.7667,72.01,10.36
194,Glazov,57,RU,2022-08-08 03:49:36,64,58.1394,52.6584,72.73,1.3
195,Vao,4,NC,2022-08-08 03:49:37,81,-22.6667,167.4833,72.36,17.74
196,Sivaki,98,RU,2022-08-08 03:49:37,91,52.6333,126.75,55.18,10.89
197,Totma,100,RU,2022-08-08 03:49:37,88,59.9747,42.7642,58.21,2.64
198,Umm Lajj,57,SA,2022-08-08 03:49:38,80,25.0213,37.2685,86.86,8.61
199,Tsuruoka,40,JP,2022-08-08 03:49:38,70,38.7217,139.8217,89.64,6.91
200,Honiara,94,SB,2022-08-08 03:47:06,78,-9.4333,159.95,82.11,1.95
201,Lata,0,PT,2022-08-08 03:49:39,90,40.1629,-8.3327,59.22,0.43
202,Buala,100,SB,2022-08-08 03:49:39,76,-8.145,159.5921,81.79,2.62
203,Lethem,64,GY,2022-08-08 03:49:39,75,3.3803,-59.7968,76.86,5.7
204,Orissaare,98,EE,2022-08-08 03:49:40,70,58.5592,23.0826,59.97,7.29
205,Yeniseysk,79,RU,2022-08-08 03:49:40,51,58.4497,92.1703,73.17,2.98
206,Elk City,0,US,2022-08-08 03:49:40,42,35.412,-99.4043,87.78,5.75
207,Mayo,0,US,2022-08-08 03:49:41,88,38.8876,-76.5119,83.17,6.91
208,Katsuura,47,JP,2022-08-08 03:49:41,76,35.1333,140.3,84.6,18.75
209,Yar-Sale,0,RU,2022-08-08 03:49:41,48,66.8333,70.8333,78.12,11.14
210,Marsh Harbour,29,BS,2022-08-08 03:49:41,71,26.5412,-77.0636,83.08,11.54
211,Lorengau,92,PG,2022-08-08 03:49:42,73,-2.0226,147.2712,83.8,9.84
212,Kargat,83,RU,2022-08-08 03:49:42,68,55.1956,80.2811,67.06,10.2
213,Banjarmasin,34,ID,2022-08-08 03:49:42,43,-3.3244,114.591,87.94,3.83
214,Beyneu,75,KZ,2022-08-08 03:49:43,18,45.3167,55.2,85.12,6.44
215,Kuala Pilah,60,MY,2022-08-08 03:49:43,74,2.7389,102.2487,84.02,3.89
216,Asau,12,RO,2022-08-08 03:49:43,95,46.4333,26.4,63.52,2.75
217,Shangrao,1,CN,2022-08-08 03:49:44,43,28.4532,117.9686,97.68,2.24
218,Victoria,60,HK,2022-08-08 03:47:40,88,22.2855,114.1577,84.38,5.99
219,Grindavik,75,IS,2022-08-08 03:49:44,93,63.8424,-22.4338,49.95,17.27
