City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
322,Sitka,US,57.0531,-135.33,57.09,77,100,10.36,overcast clouds
323,Skawina,PL,49.9752,19.8287,62.11,77,0,1.14,clear sky
324,Dhidhdhoo,MV,6.8833,73.1,81.03,80,87,13.29,overcast clouds
325,Liberal,US,37.0431,-100.921,71.74,78,0,4.61,clear sky
326,Munak,IN,29.5187,76.8486,93.24,55,1,6.71,clear sky
327,Hofn,IS,64.2539,-15.2082,52.11,91,91,7.49,overcast clouds
328,Triunfo,BR,-29.9433,-51.7181,51.73,97,100,7.45,moderate rain
329,Laem Sing,TH,12.4816,102.0738,84.54,85,100,9.78,light rain
330,Chicama,PE,-7.8447,-79.1469,62.53,85,23,4.18,few clouds
331,Sabratah,LY,32.7933,12.4885,80.04,71,0,4.16,clear sky
332,Staromyshastovskaya,RU,45.3433,39.0761,77.09,27,1,21.36,clear sky
333,Teya,RU,60.3778,92.6267,67.46,71,100,4.83,overcast clouds
334,Hay River,CA,60.8156,-115.7999,67.98,52,40,11.5,scattered clouds
335,Bogorodskoye,RU,56.55,37.8833,59.49,70,78,6.15,broken clouds
336,Basoko,CD,1.2391,23.616,72.25,78,67,3.4,broken clouds
337,Mabaruma,GY,8.2,-59.7833,74.01,97,100,2.21,overcast clouds
338,Ekhabi,RU,53.5102,142.9671,67.84,67,36,8.1,light rain
339,Chifeng,CN,42.2683,118.9636,92.93,22,0,8.97,clear sky
340,Bengkulu,ID,-3.8004,102.2655,83.43,69,55,5.21,broken clouds
341,Nishihara,JP,26.1842,127.7558,91.06,69,40,11.5,scattered clouds
342,Hervey Bay,AU,-25.2986,152.8535,67.01,64,18,8.99,few clouds
343,Te Anau,NZ,-45.4167,167.7167,41.86,81,53,2.51,broken clouds
344,Narsaq,GL,60.9167,-46.05,46.62,78,100,1.32,overcast clouds
345,Ahipara,NZ,-35.1667,173.1667,55.76,68,76,3.98,broken clouds
